"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1903",2016-04-14,1.4154,1.4202,1.4212,1.4088
"1904",2016-04-15,1.4195,1.4154,1.4241,1.413
"1905",2016-04-18,1.4278,1.422,1.4294,1.4129
"1906",2016-04-19,1.4393,1.4275,1.442,1.4266
"1907",2016-04-20,1.4333,1.4391,1.4411,1.4325
"1908",2016-04-21,1.4323,1.4331,1.4441,1.4298
"1909",2016-04-22,1.4403,1.4321,1.4451,1.431
"1910",2016-04-25,1.4482,1.4412,1.4521,1.44
"1911",2016-04-26,1.4582,1.4481,1.464,1.4474
"1912",2016-04-27,1.4543,1.458,1.4624,1.4471
"1913",2016-04-28,1.461,1.4539,1.4623,1.4521
"1914",2016-04-29,1.4613,1.4607,1.4671,1.4575
"1915",2016-05-02,1.4673,1.4609,1.4697,1.4576
"1916",2016-05-03,1.4534,1.4672,1.477,1.4527
"1917",2016-05-04,1.4492,1.4535,1.4572,1.4459
"1918",2016-05-05,1.4486,1.4494,1.4533,1.4441
"1919",2016-05-06,1.443,1.4481,1.4544,1.4411
"1920",2016-05-09,1.4407,1.4428,1.4479,1.4372
"1921",2016-05-10,1.4441,1.4406,1.4478,1.4386
"1922",2016-05-11,1.4448,1.4436,1.4488,1.4392
"1923",2016-05-12,1.445,1.4445,1.4534,1.4404
"1924",2016-05-13,1.4362,1.4449,1.4458,1.4338
"1925",2016-05-16,1.4401,1.4347,1.4421,1.433
"1926",2016-05-17,1.4464,1.4396,1.4526,1.4392
"1927",2016-05-18,1.4596,1.4458,1.4635,1.44
"1928",2016-05-19,1.4612,1.4595,1.4666,1.4559
"1929",2016-05-20,1.4501,1.461,1.4615,1.4481
"1930",2016-05-23,1.4485,1.4503,1.455,1.444
"1931",2016-05-24,1.4636,1.4482,1.4646,1.4468
"1932",2016-05-25,1.4696,1.4634,1.473,1.4599
"1933",2016-05-26,1.467,1.4694,1.4744,1.4638
"1934",2016-05-27,1.4625,1.4666,1.4693,1.46
"1935",2016-05-30,1.4639,1.4623,1.4641,1.4585
"1936",2016-05-31,1.4478,1.4638,1.4724,1.4461
"1937",2016-06-01,1.4416,1.4477,1.4508,1.4384
"1938",2016-06-02,1.4425,1.4414,1.4474,1.4402
"1939",2016-06-03,1.452,1.4418,1.4582,1.4397
"1940",2016-06-06,1.4442,1.4513,1.4526,1.435
"1941",2016-06-07,1.4544,1.4439,1.4645,1.4433
"1942",2016-06-08,1.4502,1.454,1.46,1.4496
"1943",2016-06-09,1.4459,1.4499,1.4528,1.4445
"1944",2016-06-10,1.4258,1.4458,1.4474,1.4177
"1945",2016-06-13,1.4272,1.4256,1.4327,1.4112
"1946",2016-06-14,1.4117,1.4271,1.4273,1.4089
"1947",2016-06-15,1.4205,1.4112,1.4222,1.4089
"1948",2016-06-16,1.4203,1.4203,1.4253,1.401
"1949",2016-06-17,1.4358,1.4202,1.4388,1.4194
"1950",2016-06-20,1.4699,1.4349,1.4722,1.4349
"1951",2016-06-21,1.4647,1.4698,1.4783,1.4612
"1952",2016-06-22,1.4708,1.4644,1.4777,1.4639
"1953",2016-06-23,1.4879,1.4705,1.4947,1.4699
"1954",2016-06-24,1.368,1.487,1.502,1.3224
"1955",2016-06-27,1.3219,1.3563,1.3564,1.3118
"1956",2016-06-28,1.3342,1.3223,1.342,1.3196
"1957",2016-06-29,1.3426,1.334,1.3535,1.3283
"1958",2016-06-30,1.3311,1.3428,1.35,1.3202
"1959",2016-07-01,1.3262,1.3306,1.335,1.3243
"1960",2016-07-04,1.329,1.3246,1.334,1.3227
"1961",2016-07-05,1.3023,1.3287,1.3296,1.2997
"1962",2016-07-06,1.2931,1.3018,1.303,1.2796
